split,metric,population,quantile,value,population_tile_count
train,water_fraction_valid,all_tiles,1.0,0.7488723637693526,2016
train,water_fraction_valid,positive_tiles,0.0,2.0203652820429932e-05,1122
train,water_fraction_valid,positive_tiles,0.25,0.006070117182461964,1122
train,water_fraction_valid,positive_tiles,0.5,0.022711846163079103,1122
train,water_fraction_valid,positive_tiles,0.75,0.07213354813331704,1122
train,water_fraction_valid,positive_tiles,0.9,0.18224962378619086,1122
train,water_fraction_valid,positive_tiles,0.95,0.2659779995050279,1122
train,water_fraction_valid,positive_tiles,0.99,0.48996839438759243,1122
train,water_fraction_valid,positive_tiles,1.0,0.7488723637693526,1122
val,valid_fraction_source_pixels,all_tiles,0.0,0.2169036865234375,432
val,valid_fraction_source_pixels,all_tiles,0.25,0.6753921508789062,432
val,valid_fraction_source_pixels,all_tiles,0.5,0.8339920043945312,432
val,valid_fraction_source_pixels,all_tiles,0.75,0.9067528766134512,432
val,valid_fraction_source_pixels,all_tiles,0.9,0.93956298828125,432
val,valid_fraction_source_pixels,all_tiles,0.95,0.955065685769786,432
val,valid_fraction_source_pixels,all_tiles,0.99,0.9785129912003226,432
val,valid_fraction_source_pixels,all_tiles,1.0,0.98223876953125,432
val,valid_fraction_source_pixels,positive_tiles,0.0,0.2169036865234375,432
val,valid_fraction_source_pixels,positive_tiles,0.25,0.6753921508789062,432
val,valid_fraction_source_pixels,positive_tiles,0.5,0.8339920043945312,432
val,valid_fraction_source_pixels,positive_tiles,0.75,0.9067528766134512,432
val,valid_fraction_source_pixels,positive_tiles,0.9,0.93956298828125,432
val,valid_fraction_source_pixels,positive_tiles,0.95,0.955065685769786,432
val,valid_fraction_source_pixels,positive_tiles,0.99,0.9785129912003226,432
val,valid_fraction_source_pixels,positive_tiles,1.0,0.98223876953125,432
val,padding_fraction,all_tiles,0.0,0.0,432
val,padding_fraction,all_tiles,0.25,0.0,432
val,padding_fraction,all_tiles,0.5,0.0,432
val,padding_fraction,all_tiles,0.75,0.0,432
val,padding_fraction,all_tiles,0.9,0.28125,432
val,padding_fraction,all_tiles,0.95,0.28125,432
val,padding_fraction,all_tiles,0.99,0.28125,432
val,padding_fraction,all_tiles,1.0,0.4833984375,432
val,padding_fraction,positive_tiles,0.0,0.28125,69
val,padding_fraction,positive_tiles,0.25,0.28125,69
val,padding_fraction,positive_tiles,0.5,0.28125,69
val,padding_fraction,positive_tiles,0.75,0.28125,69
val,padding_fraction,positive_tiles,0.9,0.28125,69
val,padding_fraction,positive_tiles,0.95,0.28125,69
val,padding_fraction,positive_tiles,0.99,0.4833984375,69
val,padding_fraction,positive_tiles,1.0,0.4833984375,69
val,conflict_fraction_source_pixels,all_tiles,0.0,0.00439453125,432
val,conflict_fraction_source_pixels,all_tiles,0.25,0.016628265380859375,432
val,conflict_fraction_source_pixels,all_tiles,0.5,0.03198938784391984,432
val,conflict_fraction_source_pixels,all_tiles,0.75,0.06610870361328125,432
val,conflict_fraction_source_pixels,all_tiles,0.9,0.14117431640625003,432
val,conflict_fraction_source_pixels,all_tiles,0.95,0.1950752258300781,432
val,conflict_fraction_source_pixels,all_tiles,0.99,0.3007270812988281,432
val,conflict_fraction_source_pixels,all_tiles,1.0,0.4163360595703125,432
val,conflict_fraction_source_pixels,positive_tiles,0.0,0.00439453125,432
val,conflict_fraction_source_pixels,positive_tiles,0.25,0.016628265380859375,432
val,conflict_fraction_source_pixels,positive_tiles,0.5,0.03198938784391984,432
val,conflict_fraction_source_pixels,positive_tiles,0.75,0.06610870361328125,432
val,conflict_fraction_source_pixels,positive_tiles,0.9,0.14117431640625003,432
val,conflict_fraction_source_pixels,positive_tiles,0.95,0.1950752258300781,432
val,conflict_fraction_source_pixels,positive_tiles,0.99,0.3007270812988281,432
val,conflict_fraction_source_pixels,positive_tiles,1.0,0.4163360595703125,432
val,buildings_fraction_valid,all_tiles,0.0,1.57726218829356e-05,432
val,buildings_fraction_valid,all_tiles,0.25,0.008908826783352619,432
val,buildings_fraction_valid,all_tiles,0.5,0.02313089803371947,432
val,buildings_fraction_valid,all_tiles,0.75,0.07479648130175531,432
val,buildings_fraction_valid,all_tiles,0.9,0.18272790524039786,432
val,buildings_fraction_valid,all_tiles,0.95,0.2790994545491661,432
val,buildings_fraction_valid,all_tiles,0.99,0.48537797223734946,432
val,buildings_fraction_valid,all_tiles,1.0,0.574884317588308,432
val,buildings_fraction_valid,positive_tiles,0.0,1.57726218829356e-05,432
val,buildings_fraction_valid,positive_tiles,0.25,0.008908826783352619,432
val,buildings_fraction_valid,positive_tiles,0.5,0.02313089803371947,432
val,buildings_fraction_valid,positive_tiles,0.75,0.07479648130175531,432
val,buildings_fraction_valid,positive_tiles,0.9,0.18272790524039786,432
val,buildings_fraction_valid,positive_tiles,0.95,0.2790994545491661,432
val,buildings_fraction_valid,positive_tiles,0.99,0.48537797223734946,432
val,buildings_fraction_valid,positive_tiles,1.0,0.574884317588308,432
val,roads_fraction_valid,all_tiles,0.0,0.0007570858503809088,432
val,roads_fraction_valid,all_tiles,0.25,0.017059311615760946,432
val,roads_fraction_valid,all_tiles,0.5,0.029956617502604366,432
val,roads_fraction_valid,all_tiles,0.75,0.0668835955859527,432
val,roads_fraction_valid,all_tiles,0.9,0.14717991002626274,432
val,roads_fraction_valid,all_tiles,0.95,0.21373451254087605,432
val,roads_fraction_valid,all_tiles,0.99,0.31792939190684205,432
