split,metric,population,quantile,value,population_tile_count
train,bare_land_fraction_valid,all_tiles,0.25,0.0,2016
train,bare_land_fraction_valid,all_tiles,0.5,0.0,2016
train,bare_land_fraction_valid,all_tiles,0.75,0.0,2016
train,bare_land_fraction_valid,all_tiles,0.9,0.003675133469642598,2016
train,bare_land_fraction_valid,all_tiles,0.95,0.01758157860009888,2016
train,bare_land_fraction_valid,all_tiles,0.99,0.07220525668753111,2016
train,bare_land_fraction_valid,all_tiles,1.0,0.38029460301937534,2016
train,bare_land_fraction_valid,positive_tiles,0.0,2.540263171264543e-05,299
train,bare_land_fraction_valid,positive_tiles,0.25,0.0025218172905864737,299
train,bare_land_fraction_valid,positive_tiles,0.5,0.009068562317300027,299
train,bare_land_fraction_valid,positive_tiles,0.75,0.025805746089093702,299
train,bare_land_fraction_valid,positive_tiles,0.9,0.06350237946227372,299
train,bare_land_fraction_valid,positive_tiles,0.95,0.08773206958448743,299
train,bare_land_fraction_valid,positive_tiles,0.99,0.2601455068014092,299
train,bare_land_fraction_valid,positive_tiles,1.0,0.38029460301937534,299
train,water_fraction_valid,all_tiles,0.0,0.0,2016
train,water_fraction_valid,all_tiles,0.25,0.0,2016
train,water_fraction_valid,all_tiles,0.5,0.0022531054173104523,2016
train,water_fraction_valid,all_tiles,0.75,0.031182685902380075,2016
train,water_fraction_valid,all_tiles,0.9,0.11532168493979593,2016
train,water_fraction_valid,all_tiles,0.95,0.20504674396631,2016
train,water_fraction_valid,all_tiles,0.99,0.40522172098480647,2016
train,water_fraction_valid,all_tiles,1.0,0.8111103647477665,2016
train,water_fraction_valid,positive_tiles,0.0,2.0635149914364127e-05,1122
train,water_fraction_valid,positive_tiles,0.25,0.00632077856506901,1122
train,water_fraction_valid,positive_tiles,0.5,0.023888222875769104,1122
train,water_fraction_valid,positive_tiles,0.75,0.0748299176032139,1122
train,water_fraction_valid,positive_tiles,0.9,0.19153247157107878,1122
train,water_fraction_valid,positive_tiles,0.95,0.28071165315510166,1122
train,water_fraction_valid,positive_tiles,0.99,0.5108680814597524,1122
train,water_fraction_valid,positive_tiles,1.0,0.8111103647477665,1122
val,valid_fraction_source_pixels,all_tiles,0.0,0.1849212646484375,432
val,valid_fraction_source_pixels,all_tiles,0.25,0.6533012390136719,432
val,valid_fraction_source_pixels,all_tiles,0.5,0.8267135620117188,432
val,valid_fraction_source_pixels,all_tiles,0.75,0.9035911560058594,432
